大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0002	10	520114	資訊工程學系	D 日	B 學士	565	43	117	18 新竹市	1 一般
0003	10	520114	資訊工程學系	D 日	B 學士	520	30	104	30 臺北市	1 一般
0007	10	520114	資訊工程學系	D 日	B 學士	788	24	187	18 新竹市	1 一般
0008	03	520114	資訊工程學系	D 日	B 學士	475	28	109	03 桃園市	1 一般
0009	03	520114	資訊工程學系	D 日	B 學士	234	20	44	50 高雄市	1 一般
0013	03	520114	資訊工程學系	D 日	B 學士	385	24	90	10 嘉義縣	1 一般
0017	03	520114	資訊工程學系	D 日	B 學士	200	12	39	01 新北市	1 一般
0020	01	520114	資訊工程學系	D 日	B 學士	281	19	51	15 花蓮縣	1 一般
1001	01	520114	資訊工程學系	D 日	B 學士	510	19	107	19 臺中市	1 一般
1002	15	520114	資訊工程學系	D 日	B 學士	485	15	118	01 新北市	1 一般
1004	15	520114	資訊工程學系	D 日	B 學士	444	15	73	03 桃園市	1 一般
1005	20	520114	資訊工程學系	D 日	B 學士	765	28	179	01 新北市	1 一般
1007	20	520114	資訊工程學系	D 日	B 學士	929	32	170	19 臺中市	1 一般
1009	13	520114	資訊工程學系	D 日	B 學士	232	18	43	03 桃園市	1 一般
1010	13	520114	資訊工程學系	D 日	B 學士	630	23	142	03 桃園市	1 一般
1016	07	520114	資訊工程學系	D 日	B 學士	428	18	77	30 臺北市	1 一般
