	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	6	2	17	11
[2]	8	1	18	12
[3]	4	1	22	11
[4]	222	2	520	270
[5]	211	1	558	502
[6]	216	1	558	502
[7]	242	2	560	3
[8]	202	1	608	7
[9]	204	1	608	7
[10]	206	1	608	7
[11]	205	2	608	7
[12]	303	1	850	100
[13]	314	0	860	0
[14]	315	0	860	0
[15]	316	0	860	0
[16]	308	1	861	1
[17]	310	1	861	1
[18]	312	1	861	1
[19]	309	2	861	1
[20]	311	2	861	1
[21]	313	2	861	1
[22]	348	2	876	3
[23]	347	1	879	6
[24]	423	2	1006	5
[25]	422	1	1007	6
[26]	424	1	1007	6
[27]	415	1	1014	7
[28]	416	2	1013	6
[29]	418	2	1015	4
[30]	417	1	1015	5
[31]	420	1	1015	2
[32]	419	2	1015	3
[33]	439	0	1016	0
[34]	440	0	1016	0
[35]	441	0	1016	0
[36]	442	0	1016	0
[37]	433	1	1065	49
[38]	435	1	1065	49
[39]	437	1	1065	49
	[Jobs Done]
	OID	CID	Departure	Delay
[1]	10	1	7	0
[2]	12	2	11	0
[3]	3	1	14	1
[4]	5	2	16	0
[5]	220	1	551	0
[6]	221	2	61	0
[7]	215	2	70	5
[8]	219	2	520	14
[9]	235	2	558	0
[10]	232	1	607	0
[11]	201	2	607	0
[12]	203	2	608	6
[13]	301	1	850	0
[14]	302	2	760	0
[15]	304	2	770	10
[16]	305	1	851	0
[17]	306	1	861	0
[18]	307	2	861	0
[19]	324	1	863	0
[20]	325	2	863	0
[21]	332	1	867	0
[22]	333	2	869	0
[23]	334	1	868	2
[24]	335	1	870	1
[25]	345	1	877	0
[26]	346	2	876	0
[27]	349	2	877	0
[28]	420	1	1007	0
[29]	421	2	1006	0
[30]	413	1	1012	0
[31]	414	2	1012	0
[32]	431	1	1065	0
[33]	432	2	1018	0
[34]	434	2	1019	2
[35]	436	2	1020	3
[36]	438	2	1021	4
[37]	2015	1	2379	0
[38]	2017	1	65534	0
[Average Delay]	21.99 ms
[Success Rate]	49.35 %
